epoch,accuracy,loss,val_accuracy,val_loss
0,0.9600804448127747,0.17106780409812927,0.9619100093841553,0.1548416018486023
1,0.9607900977134705,0.16897417604923248,0.9597018957138062,0.18367481231689453
2,0.9610857963562012,0.17007488012313843,0.9619100093841553,0.1545218974351883
3,0.9608492255210876,0.16667310893535614,0.9621860384941101,0.1536901593208313
4,0.9611449241638184,0.167766273021698,0.9621860384941101,0.15405569970607758
5,0.9608492255210876,0.1727433204650879,0.9621860384941101,0.15540842711925507
6,0.9616771936416626,0.16758467257022858,0.9624620676040649,0.15322865545749664
7,0.961026668548584,0.1693517118692398,0.9616339802742004,0.17036856710910797
8,0.9611449241638184,0.16819638013839722,0.9619100093841553,0.15922503173351288
9,0.961026668548584,0.16870318353176117,0.9624620676040649,0.15539850294589996
10,0.9615589380264282,0.16758161783218384,0.9621860384941101,0.15719430148601532
11,0.9613223671913147,0.17086906731128693,0.9544576406478882,0.21860238909721375
12,0.9612632393836975,0.17149582505226135,0.9616339802742004,0.1709718257188797
13,0.961026668548584,0.1676233559846878,0.9621860384941101,0.1569637954235077
14,0.9609675407409668,0.168829545378685,0.9434170722961426,0.26724404096603394
15,0.9612632393836975,0.16915874183177948,0.9613580107688904,0.17254306375980377
16,0.9609675407409668,0.17013269662857056,0.9541816115379333,0.2130201905965805
17,0.9611449241638184,0.16813687980175018,0.9552856683731079,0.2096817046403885
18,0.9607900977134705,0.17104804515838623,0.9619100093841553,0.155789315700531
19,0.961026668548584,0.16917094588279724,0.9621860384941101,0.16003073751926422
20,0.961499810218811,0.1686018705368042,0.9602539539337158,0.18321621417999268
21,0.9607309699058533,0.16970303654670715,0.9616339802742004,0.16889992356300354
22,0.9609084129333496,0.17186209559440613,0.9605299234390259,0.18383711576461792
23,0.9612632393836975,0.16754058003425598,0.9616339802742004,0.16543573141098022
24,0.9609675407409668,0.16763173043727875,0.9621860384941101,0.1547512412071228
25,0.9610857963562012,0.16869494318962097,0.9624620676040649,0.1616821587085724
26,0.9606127142906189,0.169829323887825,0.9616339802742004,0.16364166140556335
27,0.9613814949989319,0.16778382658958435,0.9616339802742004,0.15707701444625854
28,0.9608492255210876,0.16967514157295227,0.9610819816589355,0.16915684938430786
29,0.9608492255210876,0.1700424700975418,0.9610819816589355,0.17846602201461792
30,0.9609084129333496,0.1693171113729477,0.9621860384941101,0.18511897325515747
31,0.9612632393836975,0.17130312323570251,0.9588738679885864,0.18898506462574005
32,0.9611449241638184,0.16787925362586975,0.9144355654716492,0.33842286467552185
33,0.9604352712631226,0.1720695197582245,0.9508694410324097,0.23712947964668274
34,0.9612041115760803,0.16743254661560059,0.9619100093841553,0.15776075422763824
35,0.9607900977134705,0.1718188226222992,0.9610819816589355,0.1747150868177414
36,0.9604943990707397,0.17021594941616058,0.9550096392631531,0.2158612310886383
37,0.9605535268783569,0.17041414976119995,0.9610819816589355,0.1669865995645523
38,0.9609084129333496,0.16925932466983795,0.9619100093841553,0.15489406883716583
39,0.9608492255210876,0.17190678417682648,0.9072591662406921,0.356003075838089
