epoch,accuracy,loss,val_accuracy,val_loss
0,0.9405531287193298,0.2415575087070465,0.9489552974700928,0.208327978849411
1,0.9522837996482849,0.21779151260852814,0.946045994758606,0.2116440236568451
2,0.9523971676826477,0.21682208776474,0.9492197632789612,0.20629002153873444
3,0.9523404836654663,0.21490101516246796,0.9486908316612244,0.19967445731163025
4,0.9521704912185669,0.22105245292186737,0.946045994758606,0.22114217281341553
5,0.9527938365936279,0.2166302353143692,0.948426365852356,0.20491085946559906
6,0.9515470862388611,0.22476887702941895,0.9455170631408691,0.2266291230916977
7,0.9522271156311035,0.22230423986911774,0.947632908821106,0.21706034243106842
8,0.9496203064918518,0.2282620519399643,0.9492197632789612,0.21190854907035828
9,0.9492236375808716,0.2290274053812027,0.9420788288116455,0.24598054587841034
