epoch,accuracy,loss,val_accuracy,val_loss
0,0.9319392442703247,0.25101903080940247,0.948426365852356,0.21067333221435547
1,0.9530205130577087,0.1979195922613144,0.948426365852356,0.20651891827583313
2,0.9534738659858704,0.19580943882465363,0.9492197632789612,0.2071911096572876
3,0.953417181968689,0.19638559222221375,0.948426365852356,0.20550864934921265
4,0.953927218914032,0.1941554695367813,0.9489552974700928,0.2059352695941925
5,0.9535872340202332,0.19359466433525085,0.948426365852356,0.21814581751823425
6,0.953813910484314,0.1937556117773056,0.9492197632789612,0.20771284401416779
7,0.953927218914032,0.19398175179958344,0.9489552974700928,0.20603983104228973
8,0.9539839029312134,0.19373102486133575,0.9465749859809875,0.23956456780433655
9,0.9542105793952942,0.19308032095432281,0.9489552974700928,0.20809851586818695
