epoch,accuracy,loss,val_accuracy,val_loss
0,0.8933112621307373,0.2828652858734131,0.9619100093841553,0.15688152611255646
1,0.9586019515991211,0.19154396653175354,0.9616339802742004,0.1691422015428543
2,0.9591933488845825,0.18929742276668549,0.9613580107688904,0.157694011926651
3,0.9594298601150513,0.19084800779819489,0.9624620676040649,0.16205067932605743
4,0.9595481753349304,0.189283087849617,0.9630140662193298,0.1540924608707428
5,0.9599030017852783,0.18827997148036957,0.9621860384941101,0.1547664999961853
6,0.9599621295928955,0.18963901698589325,0.9624620676040649,0.15745116770267487
7,0.9598438739776611,0.18825028836727142,0.9616339802742004,0.17631323635578156
8,0.9598438739776611,0.188535675406456,0.9624620676040649,0.16343209147453308
9,0.960198700428009,0.18775306642055511,0.962738037109375,0.156889870762825
10,0.9603170156478882,0.1873374879360199,0.9621860384941101,0.16134680807590485
11,0.959784746170044,0.18829980492591858,0.9619100093841553,0.1633525788784027
12,0.9602578282356262,0.1876729279756546,0.9619100093841553,0.16412054002285004
13,0.9603761434555054,0.1866396814584732,0.962738037109375,0.16417622566223145
14,0.9596073031425476,0.18689706921577454,0.9608059525489807,0.1808883547782898
