epoch,accuracy,loss,val_accuracy,val_loss
0,0.939929723739624,0.2243877649307251,0.9481618404388428,0.20632173120975494
1,0.9536438584327698,0.19630028307437897,0.9481618404388428,0.21149440109729767
2,0.9530771970748901,0.19673973321914673,0.948426365852356,0.20501497387886047
3,0.952907145023346,0.19595032930374146,0.9486908316612244,0.207069531083107
4,0.9523404836654663,0.20073369145393372,0.948426365852356,0.2171737253665924
5,0.9450867176055908,0.2259744554758072,0.946045994758606,0.22631481289863586
6,0.9471268057823181,0.2285398244857788,0.9449880719184875,0.23305897414684296
7,0.9446333646774292,0.2571924924850464,0.9502776861190796,0.2618877589702606
8,0.9471268057823181,0.23417621850967407,0.9505422115325928,0.22080427408218384
9,0.9482602477073669,0.2202421873807907,0.9489552974700928,0.23243924975395203
